id,familia,ticker,pregunta,respuesta_esperada,respuesta
g-e04,extractiva,AMZN,"¿A quién más afectan, además de a la propia Amazon, los riesgos descritos en su 10-K de FY2024 según la introducción del apartado de riesgos?","Many of the risks discussed below also impact our customers, including third-party sellers, which could indirectly have a material adverse effect on us.","Según la introducción del apartado de factores de riesgo (Item 1A) de Amazon en su informe 10-K del ejercicio fiscal 2024, muchos de los riesgos descritos afectan también a sus clientes, incluidos los vendedores externos (third-party sellers), lo que a su vez podría tener indirectamente un efecto adverso sustancial sobre la propia compañía."
g-e05,extractiva,NVDA,"¿Cómo describe NVIDIA el mercado chino en su 10-K de FY2025, dadas las restricciones a la exportación?","The market in China, where our offerings are limited by export controls, is highly competitive and we expect it to remain competitive going forward.","En su informe 10-K de FY2025 (Ítem 7 e Ítem 1A), NVIDIA describe el mercado chino destacando los siguientes aspectos clave:

1. **Ingresos y peso relativo:** Los ingresos de Data Center en China crecieron en el ejercicio 2025 gracias a la introducción de nuevos productos diseñados específicamente para China que no requieren licencia de exportación. Sin embargo, como porcentaje del total de ingresos de Data Center, se mantienen significativamente por debajo de los niveles observados antes de los controles de exportación de octubre de 2023.
2. **Competencia intensa:** El mercado chino de soluciones de centros de datos sigue siendo altamente competitivo. NVIDIA advierte que su posición competitiva se ha visto perjudicada por las restricciones estadounidenses frente a competidores (incluidos los basados en China y otros no sujetos a las mismas reglas).
3. **Sin licencias concedidas:** Hasta la fecha del informe, NVIDIA no ha recibido licencias del gobierno de EE. UU. para suministrar a China productos restringidos de alto rendimiento (como las arquitecturas A100, H100 ni los nuevos sistemas Blackwell B200/GB200).
4. **Presiones regulatorias locales:** Las autoridades chinas podrían incentivar a clientes locales a comprar a competidores nacionales, y reguladores en China han iniciado investigaciones sobre si el cumplimiento de los controles de exportación estadounidenses discrimina a clientes en el mercado chino."
g-e06,extractiva,MSFT,"¿Cuándo completó Microsoft la adquisición de Activision Blizzard y por qué importe, según su 10-K de FY2024?","On October 13, 2023, we completed our acquisition of Activision Blizzard, Inc. (“Activision Blizzard”) for a total purchase price of $75.4 billion, consisting primarily of cash.","Microsoft completó la adquisición de Activision Blizzard, Inc. el 13 de octubre de 2023 por un precio de compra total de 75.400 millones de dólares (75.408 millones de dólares según el desglose de asignación), pagado principalmente en efectivo."
g-e07,extractiva,AAPL,"Según el 10-K de FY2025 de Apple, ¿qué efecto tienen las subidas de tipos de interés sobre su cartera de inversiones y su deuda?",Increases in interest rates will negatively affect the fair value of the Company’s investment portfolio and increase the interest expense on the Company’s term debt.,"Según el informe 10-K de FY2025 de Apple (Item 7A), las subidas de los tipos de interés tienen los siguientes efectos:

1. **Cartera de inversiones:** Afectan negativamente al valor razonable (*fair value*) de la cartera. En su análisis de sensibilidad, un incremento hipotético de 100 puntos básicos en los tipos de interés (en todos los plazos) supondría una caída estimada de 2.416 millones de dólares en su valor razonable al cierre del ejercicio 2025.
2. **Deuda a plazo (*term debt*):** Aumentan el gasto por intereses (*interest expense*). En dicho análisis de sensibilidad, un incremento hipotético de 100 puntos básicos implicaría un aumento de 129 millones de dólares en el gasto anual por intereses."
g-c01,comparativa,MSFT,"¿Cuánto crecieron los ingresos totales de Microsoft entre FY2024 y FY2025, y qué segmento impulsó ese crecimiento según el 10-K?","De 245,122,000,000 a 281,724,000,000 USD (+14.9%).","Los ingresos totales de Microsoft crecieron en 36.602 millones de dólares (un aumento aproximado del 14,93% o 15%), pasando de 245.122 millones de dólares en FY2024 a 281.724 millones de dólares en FY2025. 

El crecimiento estuvo impulsado principalmente por el segmento Intelligent Cloud, cuyos ingresos aumentaron en 18.801 millones de dólares (un 21%), alcanzando los 106.265 millones de dólares (frente a 87.464 millones en FY2024). Según el 10-K (chunk MSFT-2025-7-0010), dentro de este segmento el crecimiento estuvo liderado por Server products and cloud services (+23%), impulsado a su vez por Azure and other cloud services, cuyos ingresos crecieron un 34% debido a la fuerte demanda de su cartera de servicios. El segmento Productivity and Business Processes también aportó un crecimiento relevante de 13.990 millones de dólares (+13%)."
g-c02,comparativa,NVDA,"¿Cuánto crecieron los ingresos de NVIDIA entre FY2024 y FY2025, y qué explica ese crecimiento según el 10-K de FY2025?","De 60,922,000,000 a 130,497,000,000 USD (+114.2%).","Los ingresos de NVIDIA aumentaron en 69.575.000.000 USD (un incremento del 114,2%), pasando de 60.922.000.000 USD en el ejercicio fiscal 2024 a 130.497.000.000 USD en el ejercicio fiscal 2025. Según el 10-K de FY2025 (Item 7), este crecimiento estuvo impulsado fundamentalmente por el negocio de Data Center (cuyos ingresos crecieron un 142%), debido a la fuerte demanda de su plataforma de computación acelerada basada en la arquitectura Hopper, empleada para modelos de lenguaje extenso (LLMs), motores de recomendación y aplicaciones de IA generativa, además del inicio de envíos de la arquitectura Blackwell en el cuarto trimestre."
g-c03,comparativa,AAPL,¿Cuánto creció el beneficio neto de Apple entre FY2024 y FY2025? Menciona también qué impulsó el crecimiento de las ventas de Mac ese año.,"De 93,736,000,000 a 112,010,000,000 USD (+19.5%).","El beneficio neto de Apple creció 18.274 millones de USD (+19,50%) entre FY2024 y FY2025, pasando de 93.736 millones de USD a 112.010 millones de USD. El crecimiento en las ventas de Mac durante FY2025 (un 12%, alcanzando 33.708 millones de USD) estuvo impulsado principalmente por mayores ventas netas de ordenadores portátiles (laptops) y de sobremesa (desktops)."
g-c04,comparativa,AMZN,"¿Cuánto creció el resultado operativo de Amazon entre FY2024 y FY2025, y de dónde proviene principalmente ese incremento según el 10-K de FY2025?","De 68,593,000,000 a 79,975,000,000 USD (+16.6%).",
g-c05,comparativa,META,"¿Cuánto aumentó el gasto en I+D de Meta entre FY2024 y FY2025, y a qué lo atribuye la compañía según el 10-K de FY2025?","De 43,873,000,000 a 57,372,000,000 USD (+30.8%).","El gasto en I+D de Meta aumentó en 13.499.000.000 USD (un incremento del 30,77 % o 31 % redondeado), pasando de 43.873.000.000 USD en FY2024 a 57.372.000.000 USD en FY2025. Según el 10-K de FY2025, la compañía atribuye este incremento principalmente a una mayor compensación a los empleados y a costes de infraestructura relacionados con I+D, incluyendo sus iniciativas de inteligencia artificial (IA). Asimismo, el aumento en la compensación a empleados se debió principalmente a un crecimiento del 8 % en la plantilla de ingeniería y otras funciones técnicas entre 2024 y 2025, así como a mayores gastos de compensación basada en acciones."
g-c06,comparativa,GOOGL,"¿Cuánto crecieron los ingresos totales de Alphabet entre FY2024 y FY2025, y cuánto aportó a ese crecimiento Google Cloud según el 10-K de FY2025?","De 350,018,000,000 a 402,836,000,000 USD (+15.1%).","Entre FY2024 y FY2025, los ingresos totales de Alphabet aumentaron en 52.818 millones de dólares (+15,09%), pasando de 350.018 millones a 402.836 millones de dólares. De ese incremento total, Google Cloud aportó 15.476 millones de dólares (un aumento del 35,80%, reportado en el informe como un incremento de 15,5 mil millones de dólares, al pasar de 43.229 millones en FY2024 a 58.705 millones en FY2025), lo que representó aproximadamente el 29,30% del crecimiento total de los ingresos de la compañía."
