id,familia,ticker,pregunta,respuesta_esperada,respuesta
g-e04,extractiva,AMZN,"¿A quién más afectan, además de a la propia Amazon, los riesgos descritos en su 10-K de FY2024 según la introducción del apartado de riesgos?","Many of the risks discussed below also impact our customers, including third-party sellers, which could indirectly have a material adverse effect on us.","Según la introducción del apartado de factores de riesgo (Item 1A), muchos de los riesgos descritos afectan también a sus clientes, incluidos los vendedores terceros (third-party sellers), lo que a su vez podría tener indirectamente un efecto adverso material sobre Amazon."
g-e05,extractiva,NVDA,"¿Cómo describe NVIDIA el mercado chino en su 10-K de FY2025, dadas las restricciones a la exportación?","The market in China, where our offerings are limited by export controls, is highly competitive and we expect it to remain competitive going forward.","En su informe 10-K del ejercicio fiscal 2025 (Item 7 e Item 1A), NVIDIA describe el mercado chino y el impacto de las restricciones a la exportación estadounidenses a través de los siguientes puntos clave:

1. **Ingresos y peso relativo:** Aunque los ingresos del segmento Data Center en China crecieron en el ejercicio fiscal 2025, como porcentaje de los ingresos totales de Data Center se mantienen muy por debajo de los niveles previos a las restricciones de octubre de 2023.
2. **Adaptación de producto y licencias:** Para atender al mercado cumpliendo la normativa, la compañía desarrolló e incrementó la producción de nuevos productos diseñados específicamente para China que no requieren licencia de exportación. Hasta la fecha del informe, ni NVIDIA ni sus socios han obtenido licencias del gobierno de EE. UU. para enviar a China productos restringidos de alto rendimiento (incluyendo arquitecturas Hopper y Blackwell, como A100, H100, H800, B200 o sistemas GB200).
3. **Entorno competitivo y perjuicio de mercado:** La compañía subraya que el mercado chino de soluciones para centros de datos sigue siendo altamente competitivo y que su posición competitiva se ha visto perjudicada por los controles existentes. Las restricciones han incentivado a los clientes en China a buscar alternativas locales (o de proveedores de otras regiones) y a diseñar soluciones internas, lo que debilita a largo plazo la posición de mercado de NVIDIA.
4. **Riesgos geopolíticos y regulatorios adicionales:** NVIDIA advierte del riesgo de que futuros endurecimientos normativos puedan excluirla total o parcialmente del mercado chino. Asimismo, señala presiones regulatorias dentro de China, incluidas investigaciones de las autoridades chinas sobre el cumplimiento de compromisos y el impacto de las restricciones estadounidenses en clientes locales."
g-e06,extractiva,MSFT,"¿Cuándo completó Microsoft la adquisición de Activision Blizzard y por qué importe, según su 10-K de FY2024?","On October 13, 2023, we completed our acquisition of Activision Blizzard, Inc. (“Activision Blizzard”) for a total purchase price of $75.4 billion, consisting primarily of cash.","Según el informe 10-K de FY2024 de Microsoft (Nota 8, Combinaciones de Negocios), Microsoft completó la adquisición de Activision Blizzard el 13 de octubre de 2023 por un precio de compra total de 75.400 millones de dólares (75.408 millones de dólares en la tabla de asignación de precio de compra), pagados principalmente en efectivo."
g-e07,extractiva,AAPL,"Según el 10-K de FY2025 de Apple, ¿qué efecto tienen las subidas de tipos de interés sobre su cartera de inversiones y su deuda?",Increases in interest rates will negatively affect the fair value of the Company’s investment portfolio and increase the interest expense on the Company’s term debt.,"Según el informe 10-K de FY2025 de Apple (Item 7A), los aumentos en los tipos de interés tienen dos efectos directos: 1) reducen negativamente el valor razonable (fair value) de su cartera de inversiones, y 2) aumentan los gastos por intereses asociados a su deuda a plazo (term debt). De acuerdo con su análisis de sensibilidad a 27 de septiembre de 2025, un incremento hipotético de 100 puntos básicos en todos los plazos supondría una caída estimada de 2.416 millones de dólares en el valor de la cartera de inversiones y un aumento de 129 millones de dólares en el gasto anual por intereses de la deuda. Para mitigar este riesgo, Apple señala que puede emplear derivados, compensar activos y pasivos sensibles a tipos o gestionar la duración de sus carteras."
g-c01,comparativa,MSFT,"¿Cuánto crecieron los ingresos totales de Microsoft entre FY2024 y FY2025, y qué segmento impulsó ese crecimiento según el 10-K?","De 245,122,000,000 a 281,724,000,000 USD (+14.9%).",
g-c02,comparativa,NVDA,"¿Cuánto crecieron los ingresos de NVIDIA entre FY2024 y FY2025, y qué explica ese crecimiento según el 10-K de FY2025?","De 60,922,000,000 a 130,497,000,000 USD (+114.2%).","Los ingresos (Revenues) de NVIDIA alcanzaron los 130.497.000.000 USD en FY2025, frente a los 60.922.000.000 USD reportados en FY2024, lo que representa un crecimiento del 114,2% (un incremento de 69.575 millones de dólares). Según el informe 10-K de FY2025 (Item 7, MD&A), este crecimiento fue impulsado principalmente por el segmento de Data Center (cuyos ingresos aumentaron un 142%), debido a la fuerte demanda de la plataforma de computación acelerada basada en la arquitectura Hopper para modelos de lenguaje de gran tamaño (LLM), motores de recomendación y aplicaciones de IA generativa. Además, en el cuarto trimestre de FY2025 comenzaron los envíos de los primeros sistemas comerciales con arquitectura Blackwell."
g-c03,comparativa,AAPL,¿Cuánto creció el beneficio neto de Apple entre FY2024 y FY2025? Menciona también qué impulsó el crecimiento de las ventas de Mac ese año.,"De 93,736,000,000 a 112,010,000,000 USD (+19.5%).","El beneficio neto (NetIncomeLoss) de Apple en FY2025 fue de 112.010.000.000 USD, frente a los 93.736.000.000 USD reportados en FY2024, lo que representa un crecimiento de 18.274.000.000 USD (+19,50%). Por su parte, el crecimiento de las ventas de Mac en FY2025 fue impulsado principalmente por mayores ventas netas tanto de portátiles como de ordenadores de sobremesa (laptops and desktops), según se detalla en el Item 7 (chunk AAPL-2025-7-0003)."
g-c04,comparativa,AMZN,"¿Cuánto creció el resultado operativo de Amazon entre FY2024 y FY2025, y de dónde proviene principalmente ese incremento según el 10-K de FY2025?","De 68,593,000,000 a 79,975,000,000 USD (+16.6%).","El resultado operativo (OperatingIncomeLoss) de Amazon en FY2025 fue de 79.975 millones de USD, frente a los 68.593 millones de USD reportados en FY2024, lo que representa un crecimiento de 11.382 millones de USD (+16,59 %). Según el informe 10-K de FY2025, este incremento provino principalmente del segmento AWS (cuyo resultado operativo creció en 5.772 millones de USD debido a mayores ventas) y del segmento Norteamérica (con un aumento de 4.652 millones de USD impulsado por mayores ventas de unidades y de publicidad)."
g-c05,comparativa,META,"¿Cuánto aumentó el gasto en I+D de Meta entre FY2024 y FY2025, y a qué lo atribuye la compañía según el 10-K de FY2025?","De 43,873,000,000 a 57,372,000,000 USD (+30.8%).","El gasto en I+D (ResearchAndDevelopmentExpense) de Meta se situó en 57.372 millones de dólares en FY2025 frente a 43.873 millones de dólares en FY2024, lo que representa un incremento de 13.499 millones de dólares (un aumento del 31 % o 13,50 mil millones de dólares según el informe).

Según la sección Item 7 del 10-K de FY2025, la compañía atribuye este incremento principalmente a mayores compensaciones a empleados y mayores costes de infraestructura vinculados a I+D, incluyendo sus iniciativas de inteligencia artificial (IA). Asimismo, el incremento en la compensación de los empleados se debió principalmente a un crecimiento del 8 % en la plantilla de ingeniería y otras funciones técnicas entre 2024 y 2025, así como a mayores gastos por compensación basada en acciones."
g-c06,comparativa,GOOGL,"¿Cuánto crecieron los ingresos totales de Alphabet entre FY2024 y FY2025, y cuánto aportó a ese crecimiento Google Cloud según el 10-K de FY2025?","De 350,018,000,000 a 402,836,000,000 USD (+15.1%).","En FY2025, los ingresos totales (Revenues) de Alphabet alcanzaron los 402.836.000.000 USD, frente a los 350.018.000.000 USD de FY2024, lo que supone un crecimiento interanual de 52.818 millones de dólares (un 15%).

En cuanto a la aportación de Google Cloud, el informe 10-K (Item 7, MD&A) detalla que los ingresos crecieron impulsados en parte por un aumento en Google Cloud de 15,5 mil millones de dólares (+36%), pasando de 43.229 millones de dólares en 2024 a 58.705 millones de dólares en 2025. Esto significa que Google Cloud aportó aproximadamente el 29,3% del crecimiento absoluto total de los ingresos de Alphabet entre ambos ejercicios."
